model,accuracy,precision,recall,f1,roc_auc,cv_best_roc_auc,best_params
XGBoost,0.801277501774308,0.6620689655172414,0.5133689839572193,0.5783132530120482,0.839684569479966,0.8473024695406479,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}"
LogisticRegression,0.8041163946061036,0.6633333333333333,0.5320855614973262,0.5905044510385756,0.8365664315792194,0.8471292012694764,"{'classifier__C': 10, 'classifier__class_weight': None}"
RandomForest,0.7955997161107168,0.6733870967741935,0.446524064171123,0.5369774919614148,0.8364450127877238,0.8471947828165669,"{'classifier__max_depth': 6, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 400}"
